id,product_series,product_name,manufacturer,product_type,supported_protocols
1074,A,PLUS,Camille Bauer,Power Meters,modbus
1075,Liebert,GXT,Vertiv Group Corp,Uninterruptible Power Supplies,modbus
1076,PowerLogic,BCPM,Schneider Electric,Power Meters,modbus
1077,VLT AutomationDrive,FC 302,Danfoss,Variable Frequency Drives,modbus | ethernet-ip
1078,PowerLogic,ION7500,Schneider Electric,Power Meters,modbus
1079,Easergy-P5,U20,Schneider Electric,Protection Relays,modbus
1080,PowerLogic,ION7400,Schneider Electric,Power Meters,modbus
1081,PD,PD (ICCB) & PXR 25 & CAM + MCAM,Eaton,Circuit Breakers,modbus
1082,PD,PD (ICCB) & PXR 20,Eaton,Circuit Breakers,modbus
1083,Access,9340,Siemens,Power Meters,modbus
1084,Low Voltage VFD,iP5A,LS Electric,Variable Frequency Drives,modbus
1085,Optidrive,E3-Single Phase,Invertek,Variable Frequency Drives,modbus
1086,PowerLogic,CM4000,Schneider Electric,Power Meters,modbus
1087,MAGNA,MAGNA3-D,Grundfos,Motors & Pumps,modbus
1088,Hydro,Hydro Multi-B,Grundfos,Motors & Pumps,modbus
1090,E-Pumps,0.25-7.5 kW G models w. Sensor,Grundfos,Motors & Pumps,modbus
1091,Sunny Highpower,Peak3,SMA,Solar Inverters,modbus
1092,NZM,NZM-XMC-MB-TC,Eaton,Power Meters,modbus
1093,Adjustable Speed Drives,P9,Toshiba,Variable Frequency Drives,modbus
1094,Tmax XT7 M,Tmax XT7 M & Ekip G Hi-Touch & Ekip Com Modbus RTU,ABB,Circuit Breakers,modbus
1095,CFW,500,WEG,Variable Frequency Drives,modbus | ethernet-ip
1096,Acti9 iEM3000,iEM3200,Schneider Electric,Power Meters,modbus
1097,3 Series,345,General Electric,Protection Relays,modbus
1098,Tmax XT4,Tmax XT4 & Ekip N-LS/I & Ekip Com STA Modbus RS-485,ABB,Circuit Breakers,modbus
1099,Conext,TL,Schneider Electric,Solar Inverters,modbus
1100,HVAC,H300 (Standard Addressing),Control Techniques,Variable Frequency Drives,modbus
1101,SR,469,General Electric,Protection Relays,modbus
1102,Vacon,NXC,Danfoss,Variable Frequency Drives,ethernet-ip
1103,Tmax T3,Tmax T3 & Ekip Signaling Modbus TCP,ABB,Circuit Breakers,modbus
1104,BM,300,ABB,Power Meters,modbus
1105,CMS,700,ABB,Power Meters,modbus
1106,PMC,D726M,CET,Power Meters,modbus
1107,T-PRO,8700,ERL,Protection Relays,modbus
1108,WJ,200,Hitachi,Variable Frequency Drives,modbus
1109,Isomax S6,Isomax S6 & PR212/P & PR212/D-M,ABB,Circuit Breakers,modbus
1110,Vacon,X5Hazlo,Danfoss,Variable Frequency Drives,ethernet-ip
1111,Tmax XT2,Tmax XT2 & Ekip Hi-Touch & Ekip Com Modbus RTU,ABB,Circuit Breakers,modbus
1112,NRX,NRX & PXR 25 & CAM + ECAM-MTCP,Eaton,Circuit Breakers,modbus
1113,FIE series,FIE1N,Vtdrive,Variable Frequency Drives,modbus
1114,Moeller,PKE 65 & PKE-XTU(W)A & COM-RTU,Eaton,Circuit Breakers,modbus
1115,Isomax S5,Isomax S5 & PR212/P & PR212/D-M,ABB,Circuit Breakers,modbus
1116,NRX,NRX & PXR 25 & CAM + MCAM,Eaton,Circuit Breakers,modbus
1117,Tmax XT7 M,Tmax XT7 M & Ekip Hi-Touch & Ekip Com Modbus RTU,ABB,Circuit Breakers,modbus
1118,Sunny Tripower,8.0 / 10.0,SMA,Solar Inverters,modbus
1119,DSLII,DSLII & Digitrip OPTIM 750 & mMint,Eaton,Circuit Breakers,modbus
1120,Series C,Series C L-frame,Eaton,Circuit Breakers,modbus
1121,SMV,NEMA-1,Lenze,Variable Frequency Drives,modbus | ethernet-ip
1122,Countis,E14,Socomec,Power Meters,modbus
1123,PowerLogic,PM5000,Schneider Electric,Power Meters,modbus
1124,NZM,NZM-XMC,Eaton,Power Meters,modbus
1125,IQ,35MA2X,Eaton,Power Meters,modbus
